Num, FullName,"[Fe/H] [-]","M* Msun","Per d","msini Msun","a AU"
155,2M08483429+1225079,-0.15365,0.703283,76.296883,0.119938,0.28187
156,2M08483499+1236448,-0.20954,0.693687,120.49645,0.258889,0.34209
157,2M08485051+1134020,-0.24156,0.523517,172.68064,0.363936,0.34406
158,2M08511963+1232465,0.043818,0.788587,202.43213,0.0556616,0.59564
159,2M08532372+1119098,-0.57548,0.712976,30.720496,0.0394254,0.16545
160,2M08535065+1029337,-0.034572,0.614161,109.81963,0.359712,0.28055
161,2M08552622+1054187,-0.073095,0.57696,165.4556,0.120305,0.43278
162,2M11431623+0055135,-0.44742,0.728755,152.79108,0.0677723,0.47436
163,2M11434636+0030400,-0.11909,1.061841,16.80641,0.0277358,0.12877
164,2M11435456+0033196,0.40153,1.223018,47.324301,0.756849,0.19861
165,2M11440094+0034363,-0.15949,1.014528,27.433114,0.0220141,0.17633
166,2M11444122+0031591,0.20155,1.041636,678.67144,0.0394721,1.49455
167,2M11450339+0121238,0.032704,0.549986,164.65324,0.0309501,0.46444
168,2M11452461+0125173,0.14148,0.559508,642.64098,0.053752,1.12968
169,2M11462469+0102248,-0.42545,0.663238,23.837561,0.00960073,0.14001
170,2M11463743-0053010,0.002526,0.878224,21.271004,0.255836,0.12133
171,2M11474169-0044335,0.062879,0.872518,50.320063,0.112283,0.23513
172,2M11481919+0118185,-0.43979,0.488064,0.52958361,0.00331897,0.01004
173,2M11512380+0033387,-0.741009,1.145251,227.57099,0.0825683,0.72859
174,2M11513917+0039454,-0.11854,0.848268,361.88596,0.0135339,0.9309
175,2M12045063+1911396,-0.11358,0.884628,104.82417,0.0416334,0.40506
176,2M12105030+1910562,-0.32653,0.690084,67.132909,0.363243,0.21549
177,2M12112555+1908295,-0.185403,1.227651,114.72346,0.0538712,0.4808
178,2M12135300+1419452,-0.040259,0.508887,1.6194881,0.00328665,0.02146
179,2M12154845+1349282,-0.011983,0.503526,1.1978496,0.00637941,0.01741
180,2M12161612+1411251,-0.51549,0.691479,2.1775362,0.00995225,0.0288
181,2M12163377+1410469,-0.17803,0.528198,1.1429596,0.00419615,0.0172
182,2M12164821+1455510,-0.6893,0.384609,2.723895,0.00614534,0.02747
183,2M12170968-0042550,-0.534226,1.904553,8.1039088,0.0287367,0.0969
184,2M12182567+0048289,-0.55723,0.634221,13.77759,0.168101,0.08262
185,2M12183673+1446115,0.10409,0.797431,9.3050031,0.253962,0.06677
186,2M12192456+0000171,0.43027,0.851315,5.549685,0.00243747,0.05803
187,2M12205051+1356340,0.026848,0.773261,10.347659,0.460285,0.06248
188,2M12211197+2704339,-0.7432,0.510319,31.240512,0.35002,0.10952
189,2M12211694+1358233,0.066649,0.544777,259.05149,0.0438014,0.61688
190,2M12211967-0104322,-0.39465,0.733215,125.88932,0.250264,0.36446
191,2M12212053+1352596,-0.025045,0.700852,97.479889,0.119931,0.33139
192,2M12213892+1425172,-0.2569,0.486402,0.72656477,0.00151574,0.01241
193,2M12220451+1413438,-0.81565,1.122893,156.37902,0.0268429,0.58119
194,2M12222252+1434366,0.065549,0.722556,15.300746,0.123769,0.09741
195,2M12224798+1333258,-0.014854,0.67862,11.087221,0.0105673,0.08464
196,2M12225224+2504000,-0.087709,1.631593,232.53604,0.204212,0.80535
197,2M12242433+0000450,-0.33127,0.800079,6.4326028,0.250854,0.05239
198,2M12244488+2640386,-0.393909,0.964141,153.79011,0.0336712,0.54241
199,2M12253745+2546127,-0.32684,0.463257,103.40161,0.00893905,0.32937
200,2M12262401+2515430,-0.48194,1.189072,209.30571,0.415218,0.59861
201,2M12271056-0030016,-0.167588,1.76384,2.5943366,0.0197259,0.04431
202,2M12274075+0007367,-0.28858,0.526981,1.2775939,0.00259473,0.01855
203,2M12383663-0736479,-0.784097,1.091909,180.89373,0.0806293,0.61468
204,2M12401224-0648362,-0.27742,0.626902,602.11946,0.0359011,1.15084
205,2M12415580-0809155,-0.14265,0.986605,2.4989063,0.00842952,0.03567
206,2M12450214-0725112,-0.420879,1.151285,103.54717,0.427191,0.36649
207,2M13071335+1659591,-0.13525,0.518236,4.9413517,0.00287861,0.04544
208,2M13084943+1705275,-0.046324,0.908228,16.414864,0.00599616,0.12187
209,2M13090969+1630418,-1.087032,1.015672,162.62931,0.0899966,0.55386
210,2M13090983+1711572,-0.531152,1.202798,14.28128,0.85125,0.08575
211,2M13093752+1709398,-0.033399,0.542402,19.522255,0.441552,0.0778
212,2M13101232+1811409,0.11779,0.793143,22.309721,0.00479867,0.14299
213,2M13104680+1759363,0.043445,0.58397,0.87893302,0.080358,0.01377
214,2M13122184+1635340,-0.25028,0.523994,13.388877,0.221745,0.07032
215,2M13124295+1714286,-0.280618,1.26501,118.90606,0.260892,0.45166
216,2M13131777+1705326,-0.50351,0.739709,24.349481,0.0215549,0.14587
217,2M13133317+1542134,-0.20186,0.705856,112.81715,0.0061567,0.4045
